time,bid_price,ask_price,total_volume,open_price,quote_time
2022-12-29 14:31:11.549000,128.28,128.3,3136265,127.99,34271
2022-12-29 14:31:12.077000,128.27,128.29,3138522,,
2022-12-29 14:31:12.610000,,128.28,3138831,,34272
2022-12-29 14:31:13.112000,,,3141809,,
2022-12-29 14:31:13.622000,,128.29,3145383,,34273
2022-12-29 14:31:14.152000,128.26,128.28,3151368,,
2022-12-29 14:31:14.677000,128.23,128.24,3157331,,34274
2022-12-29 14:31:15.188000,128.2,128.21,3161036,,
2022-12-29 14:31:15.711000,128.17,128.18,3163950,,34275
2022-12-29 14:31:16.242000,,128.19,3173464,,
2022-12-29 14:31:16.773000,128.19,128.21,3180877,,34276
2022-12-29 14:31:17.289000,,,3182907,,34277
2022-12-29 14:31:17.828000,128.2,128.22,3194283,,
2022-12-29 14:31:18.370000,128.19,128.21,3196697,,34278
2022-12-29 14:31:18.902000,128.2,128.22,3198231,,
2022-12-29 14:31:19.432000,128.19,128.2,3202276,,34279
2022-12-29 14:31:19.963000,128.16,128.18,3207951,,
2022-12-29 14:31:20.490000,128.17,128.19,3210108,,34280
2022-12-29 14:31:20.995000,128.16,128.18,3217948,,
2022-12-29 14:31:21.527000,128.19,128.2,3220595,,34281
2022-12-29 14:31:22.039000,,128.21,3221245,,
2022-12-29 14:31:22.575000,,,3227913,,34282
2022-12-29 14:31:23.114000,,128.2,3233301,,
2022-12-29 14:31:23.645000,,,3235556,,34283
2022-12-29 14:31:24.182000,,,3236952,,
2022-12-29 14:31:24.720000,128.12,128.14,3246368,,34284
2022-12-29 14:31:25.230000,128.16,128.18,3249790,,
2022-12-29 14:31:25.744000,128.13,128.15,3252635,,34285
2022-12-29 14:31:26.288000,128.12,128.13,3261720,,34286
2022-12-29 14:31:26.812000,,,3265708,,
2022-12-29 14:31:27.349000,128.11,128.12,3270841,,34287
2022-12-29 14:31:27.871000,,128.13,3275991,,
2022-12-29 14:31:28.409000,128.13,128.14,3279975,,34288
2022-12-29 14:31:28.941000,128.11,128.12,3282082,,
2022-12-29 14:31:29.465000,128.17,128.19,3292588,,34289
2022-12-29 14:31:30.001000,128.15,128.18,3296317,,
2022-12-29 14:31:30.547000,128.2,128.21,3301660,,34290
2022-12-29 14:31:31.083000,128.17,128.19,3317747,,
2022-12-29 14:31:31.609000,128.15,128.17,3318756,,34291
2022-12-29 14:31:32.120000,,128.16,3327290,,
2022-12-29 14:31:32.640000,128.19,128.21,3328282,,34292
2022-12-29 14:31:33.159000,128.21,128.23,3331484,,
2022-12-29 14:31:33.701000,128.23,128.24,3346577,,34293
2022-12-29 14:31:34.231000,128.25,128.27,3349680,,
2022-12-29 14:31:34.738000,128.26,128.28,3358143,,34294
2022-12-29 14:31:35.269000,128.28,128.3,3379819,,34295
2022-12-29 14:31:35.794000,128.3,128.31,3393224,,
2022-12-29 14:31:36.306000,,128.32,3396694,,34296
2022-12-29 14:31:36.831000,128.32,128.33,3399695,,
2022-12-29 14:31:37.362000,,128.34,3400599,,34297
2022-12-29 14:31:37.874000,,,3406758,,
2022-12-29 14:31:38.378000,128.38,128.4,3418298,,34298
2022-12-29 14:31:38.890000,128.41,128.42,3427031,,
2022-12-29 14:31:39.412000,128.42,128.43,3435287,,34299
2022-12-29 14:31:39.930000,128.41,,3443116,,
2022-12-29 14:31:40.461000,128.42,,3444033,,34300
2022-12-29 14:31:40.986000,128.46,128.47,3460863,,
2022-12-29 14:31:41.492000,128.5,128.51,3490073,,34301
2022-12-29 14:31:42.022000,128.51,128.52,3506798,,
2022-12-29 14:31:42.552000,,128.53,3517259,,34302
2022-12-29 14:31:43.079000,,128.52,3520716,,
2022-12-29 14:31:43.582000,128.46,128.48,3551033,,34303
2022-12-29 14:31:44.085000,128.45,128.46,3557121,,
2022-12-29 14:31:44.634000,128.47,128.48,3560397,,34304
2022-12-29 14:31:45.146000,,,3565795,,
2022-12-29 14:31:45.671000,128.46,,3569231,,34305
2022-12-29 14:31:46.202000,128.43,128.45,3589105,,
2022-12-29 14:31:46.706000,128.41,128.44,3593890,,34306
2022-12-29 14:31:47.223000,128.42,128.43,3597571,,
2022-12-29 14:31:47.741000,128.38,128.39,3601349,,34307
2022-12-29 14:31:48.254000,128.4,128.41,3606776,,
2022-12-29 14:31:48.780000,,,3609503,,34308
2022-12-29 14:31:49.297000,,,3615204,,34309
2022-12-29 14:31:49.816000,128.39,,3619557,,
2022-12-29 14:31:50.352000,128.41,128.42,3622642,,34310
2022-12-29 14:31:50.877000,128.42,128.43,3630029,,
2022-12-29 14:31:51.408000,128.39,128.4,3645385,,34311
2022-12-29 14:31:51.934000,,,3650920,,
2022-12-29 14:31:52.445000,,,3652775,,34312
2022-12-29 14:31:52.949000,,128.41,3653884,,
2022-12-29 14:31:53.482000,128.4,128.42,3654789,,34313
2022-12-29 14:31:54.022000,,128.41,3655799,,
2022-12-29 14:31:54.545000,128.41,128.42,3657142,,34314
2022-12-29 14:31:55.056000,,128.43,3657973,,
2022-12-29 14:31:55.564000,128.43,128.44,3660629,,34315
2022-12-29 14:31:56.069000,128.42,,3674104,,
2022-12-29 14:31:56.574000,128.44,128.45,3677005,,34316
2022-12-29 14:31:57.105000,128.43,,3685548,,
2022-12-29 14:31:57.629000,128.44,,3687200,,34317
2022-12-29 14:31:58.160000,128.45,128.46,3694578,,
2022-12-29 14:31:58.691000,128.47,128.48,3704837,,34318
2022-12-29 14:31:59.225000,128.45,128.46,3709699,,
2022-12-29 14:31:59.736000,,,3711777,,34319
2022-12-29 14:32:00.254000,128.44,,3715166,,
2022-12-29 14:32:00.785000,128.37,128.38,3724875,,34320
2022-12-29 14:32:01.315000,128.34,128.35,3730700,,34321
2022-12-29 14:32:01.827000,,128.36,3735111,,
2022-12-29 14:32:02.373000,128.39,128.41,3739903,,34322
2022-12-29 14:32:02.885000,128.34,128.35,3743003,,
2022-12-29 14:32:03.408000,128.3,128.32,3747874,,34323
2022-12-29 14:32:03.952000,,128.31,3749804,,
2022-12-29 14:32:04.477000,128.31,128.33,3756176,,34324
2022-12-29 14:32:04.979000,128.28,128.3,3788517,,
2022-12-29 14:32:05.488000,128.27,128.29,3792313,,34325
2022-12-29 14:32:06.019000,128.28,,3801462,,
2022-12-29 14:32:06.551000,128.26,128.28,3805223,,34326
2022-12-29 14:32:07.062000,128.27,,3807263,,
2022-12-29 14:32:07.580000,,128.29,3811380,,34327
2022-12-29 14:32:08.091000,128.26,128.28,3813532,,
2022-12-29 14:32:08.596000,128.27,,3816686,,34328
2022-12-29 14:32:09.103000,,,3819797,,
2022-12-29 14:32:09.633000,,128.29,3823737,,34329
2022-12-29 14:32:10.175000,128.24,128.26,3841599,,
2022-12-29 14:32:10.681000,128.23,128.25,3844528,,34330
2022-12-29 14:32:11.211000,128.21,128.23,3851254,,
2022-12-29 14:32:11.743000,,,3875723,,34331
2022-12-29 14:32:12.272000,,,3880329,,34332
2022-12-29 14:32:12.808000,128.2,128.21,3882551,,
2022-12-29 14:32:13.354000,,128.22,3889840,,34333
2022-12-29 14:32:13.887000,,,3899952,,
2022-12-29 14:32:14.389000,128.21,128.23,3910583,,34334
2022-12-29 14:32:14.896000,128.23,128.24,3912417,,
2022-12-29 14:32:15.437000,128.25,128.26,3917566,,34335
2022-12-29 14:32:15.961000,,128.28,3920807,,
2022-12-29 14:32:16.499000,,128.27,3923654,,34336
2022-12-29 14:32:17.011000,,128.26,3924753,,
2022-12-29 14:32:17.536000,128.24,128.25,3933285,,34337
2022-12-29 14:32:18.060000,128.23,,3938872,,
2022-12-29 14:32:18.591000,,128.24,3940624,,34338
2022-12-29 14:32:19.099000,,,3942667,,
2022-12-29 14:32:19.612000,,,3943177,,34339
2022-12-29 14:32:20.135000,128.22,,3944064,,
2022-12-29 14:32:20.652000,,,3944654,,34340
2022-12-29 14:32:21.176000,128.23,128.25,3949362,,
2022-12-29 14:32:21.713000,128.22,128.24,3954764,,34341
2022-12-29 14:32:22.238000,,,3955424,,
2022-12-29 14:32:22.796000,128.23,128.25,3957789,,34342
2022-12-29 14:32:23.304000,,,3965814,,34343
2022-12-29 14:32:23.829000,128.24,,3967138,,
2022-12-29 14:32:24.363000,,128.26,3968004,,34344
2022-12-29 14:32:24.875000,128.25,,3968672,,
2022-12-29 14:32:25.389000,,,3972254,,34345
2022-12-29 14:32:25.920000,,,3972944,,
2022-12-29 14:32:26.445000,,,3974716,,34346
2022-12-29 14:32:26.978000,,,3981224,,
2022-12-29 14:32:27.507000,128.24,,3998533,,34347
2022-12-29 14:32:28.024000,128.23,128.24,4001326,,
2022-12-29 14:32:28.563000,,,4001938,,34348
2022-12-29 14:32:29.105000,,,4005129,,
2022-12-29 14:32:29.607000,,,4005717,,34349
2022-12-29 14:32:30.121000,128.2,128.22,4008039,,
2022-12-29 14:32:30.641000,,,4008662,,34350
2022-12-29 14:32:31.179000,,128.21,4010085,,
2022-12-29 14:32:31.701000,,,4011412,,34351
2022-12-29 14:32:32.218000,,,4012977,,
2022-12-29 14:32:32.729000,128.16,128.18,4014839,,34352
2022-12-29 14:32:33.233000,128.17,128.19,4015489,,
2022-12-29 14:32:33.750000,,128.18,4016999,,34353
2022-12-29 14:32:34.281000,128.16,128.17,4022015,,34354
2022-12-29 14:32:34.788000,128.15,128.18,4024409,,
2022-12-29 14:32:35.333000,,128.17,4028261,,34355
2022-12-29 14:32:35.849000,128.12,128.13,4036390,,
2022-12-29 14:32:36.354000,128.1,128.12,4037891,,34356
2022-12-29 14:32:36.904000,,,4040891,,
2022-12-29 14:32:37.436000,,128.11,4046974,,34357
2022-12-29 14:32:37.962000,,,4050458,,
2022-12-29 14:32:38.473000,128.12,128.14,4053915,,34358
2022-12-29 14:32:38.998000,128.1,128.11,4058147,,
2022-12-29 14:32:39.509000,128.08,128.09,4079295,,34359
2022-12-29 14:32:40.035000,128.07,,4083333,,
2022-12-29 14:32:40.549000,,128.08,4084834,,34360
2022-12-29 14:32:41.072000,,,4087492,,
2022-12-29 14:32:41.604000,128.06,,4090215,,34361
2022-12-29 14:32:42.122000,,128.07,4092392,,
2022-12-29 14:32:42.633000,128.05,128.06,4094128,,34362
2022-12-29 14:32:43.157000,128.04,,4096506,,
2022-12-29 14:32:43.668000,128.02,128.03,4099596,,34363
2022-12-29 14:32:44.198000,128.01,128.02,4101611,,
2022-12-29 14:32:44.710000,128.02,128.04,4117459,,34364
2022-12-29 14:32:45.212000,128,128.01,4120128,,
2022-12-29 14:32:45.737000,127.95,127.96,4159703,,34365
2022-12-29 14:32:46.254000,127.97,127.98,4184877,,34366
2022-12-29 14:32:46.759000,127.94,127.96,4186751,,
2022-12-29 14:32:47.284000,127.91,127.92,4196868,,34367
2022-12-29 14:32:47.826000,,127.93,4199931,,
2022-12-29 14:32:48.346000,127.9,127.91,4202351,,34368
2022-12-29 14:32:48.857000,127.87,127.9,4207151,,
