time,bid_price,ask_price,total_volume,open_price,quote_time
2022-12-28 14:59:08.361000,129.94,129.95,9567226,129.67,35948
2022-12-28 14:59:08.887000,129.95,129.96,9568368,,
2022-12-28 14:59:09.415000,129.94,,9569932,,35949
2022-12-28 14:59:09.941000,129.95,,9571271,,
2022-12-28 14:59:10.486000,129.93,129.94,9572105,,35950
2022-12-28 14:59:11.010000,129.92,129.93,9574262,,
2022-12-28 14:59:11.555000,,129.94,9575262,,35951
2022-12-28 14:59:12.078000,129.91,129.92,9577464,,
2022-12-28 14:59:12.591000,129.9,129.91,9577587,,35952
2022-12-28 14:59:13.114000,129.89,129.9,9580803,,
2022-12-28 14:59:13.617000,,,9582659,,35953
2022-12-28 14:59:14.149000,129.9,129.92,9583483,,
2022-12-28 14:59:14.674000,,129.91,9585169,,35954
2022-12-28 14:59:15.178000,129.91,129.93,9585770,,
2022-12-28 14:59:15.710000,129.9,129.92,9586452,,35955
2022-12-28 14:59:16.211000,129.92,129.93,9586613,,35956
2022-12-28 14:59:16.721000,129.91,129.92,9587670,,
2022-12-28 14:59:17.248000,,,9587676,,35957
2022-12-28 14:59:17.763000,,,9588765,,
2022-12-28 14:59:18.282000,129.9,129.91,9590168,,35958
2022-12-28 14:59:18.802000,,,9590219,,
2022-12-28 14:59:19.317000,,,9591136,,35959
2022-12-28 14:59:19.842000,129.89,129.9,9594817,,
2022-12-28 14:59:20.367000,,129.91,9596701,,35960
2022-12-28 14:59:20.883000,129.93,129.94,9598155,,
2022-12-28 14:59:21.394000,129.92,,9599070,,35961
2022-12-28 14:59:21.920000,,129.93,9600060,,
2022-12-28 14:59:22.445000,129.93,129.94,9601407,,35962
2022-12-28 14:59:22.961000,,,9602666,,
2022-12-28 14:59:23.473000,129.94,129.95,9603570,,35963
2022-12-28 14:59:24.006000,,,9603591,,
2022-12-28 14:59:24.538000,129.93,,9604062,,35964
2022-12-28 14:59:25.073000,,,9604193,,
2022-12-28 14:59:25.578000,129.94,,9604946,,35965
2022-12-28 14:59:26.122000,129.93,,9605589,,
2022-12-28 14:59:26.632000,,129.94,9605814,,35966
2022-12-28 14:59:27.135000,,,9605980,,
2022-12-28 14:59:27.639000,,,9607322,,35967
2022-12-28 14:59:28.155000,,,9607326,,
2022-12-28 14:59:28.679000,,129.95,9607528,,35968
2022-12-28 14:59:29.184000,,,9607655,,
2022-12-28 14:59:29.702000,129.94,129.96,9608172,,35969
2022-12-28 14:59:30.225000,129.95,,9608534,,35970
2022-12-28 14:59:30.754000,,129.97,9609362,,
2022-12-28 14:59:31.292000,129.97,129.99,9610713,,35971
2022-12-28 14:59:31.796000,129.96,129.97,9612000,,
2022-12-28 14:59:32.340000,,,9612167,,35972
2022-12-28 14:59:32.854000,,,9612394,,
2022-12-28 14:59:33.359000,,,9613539,,35973
2022-12-28 14:59:33.886000,,,9613560,,
2022-12-28 14:59:34.391000,129.97,129.99,9613829,,35974
2022-12-28 14:59:34.917000,,,9613934,,
2022-12-28 14:59:35.442000,,129.98,9613955,,35975
2022-12-28 14:59:35.955000,129.98,129.99,9614055,,
2022-12-28 14:59:36.501000,129.97,129.98,9614899,,35976
2022-12-28 14:59:37.028000,,,9615651,,
2022-12-28 14:59:37.574000,129.98,129.99,9616282,,35977
2022-12-28 14:59:38.111000,,,9618677,,
2022-12-28 14:59:38.657000,,,9622918,,35978
2022-12-28 14:59:39.196000,129.96,129.97,9627249,,
2022-12-28 14:59:39.747000,,,9628794,,35979
2022-12-28 14:59:40.253000,129.98,129.99,9631222,,35980
2022-12-28 14:59:40.787000,,,9631833,,
2022-12-28 14:59:41.291000,,,9632345,,35981
2022-12-28 14:59:41.854000,,,9633214,,
2022-12-28 14:59:42.375000,129.99,130,9634041,,35982
2022-12-28 14:59:42.917000,129.98,129.99,9635003,,
2022-12-28 14:59:43.419000,,,9635235,,
2022-12-28 14:59:43.965000,,,9635543,,35983
2022-12-28 14:59:44.476000,129.96,129.97,9638179,,35984
2022-12-28 14:59:45.002000,,,9640757,,
2022-12-28 14:59:45.522000,,,9641939,,35985
2022-12-28 14:59:46.037000,129.95,,9643077,,
2022-12-28 14:59:46.541000,129.94,129.95,9643644,,35986
2022-12-28 14:59:47.072000,,,9643759,,
2022-12-28 14:59:47.601000,,,9643765,,35987
2022-12-28 14:59:48.119000,,,9643824,,
2022-12-28 14:59:48.664000,,,9643937,,35988
2022-12-28 14:59:49.197000,,,9644274,,
2022-12-28 14:59:49.706000,,,9645234,,35989
2022-12-28 14:59:50.214000,,,9649284,,
2022-12-28 14:59:50.802000,,,9651983,,35990
2022-12-28 14:59:51.329000,129.93,129.94,9653794,,35991
2022-12-28 14:59:51.850000,,,9654056,,
2022-12-28 14:59:52.395000,,,9654349,,35992
2022-12-28 14:59:52.900000,,,9654850,,
2022-12-28 14:59:53.425000,,,9654878,,35993
2022-12-28 14:59:53.936000,129.95,129.96,9657502,,
2022-12-28 14:59:54.441000,129.94,129.95,9657562,,35994
2022-12-28 14:59:54.979000,,,9658800,,
2022-12-28 14:59:55.524000,129.95,129.96,9658942,,35995
2022-12-28 14:59:56.031000,129.94,129.95,9658963,,
2022-12-28 14:59:56.536000,,,9659858,,35996
2022-12-28 14:59:57.081000,,129.96,9661064,,
2022-12-28 14:59:57.601000,,129.95,9661691,,35997
2022-12-28 14:59:58.145000,129.95,129.96,9662289,,
2022-12-28 14:59:58.686000,,,9664266,,35998
2022-12-28 14:59:59.196000,129.94,129.95,9664302,,
2022-12-28 14:59:59.699000,129.97,129.98,9665345,,35999
2022-12-28 15:00:00.226000,,129.99,9666674,,36000
2022-12-28 15:00:00.758000,,,9668436,,
2022-12-28 15:00:01.284000,130.02,130.03,9681212,,36001
2022-12-28 15:00:01.852000,130.08,130.09,9693635,,
