time,bid_price,ask_price,total_volume,open_price,quote_time
2022-12-27 14:36:05.100000,117.82,117.86,1114277,117.93,34564
2022-12-27 14:36:05.604000,117.87,117.9,1114925,,34565
2022-12-27 14:36:06.111000,117.85,117.87,1115829,,
2022-12-27 14:36:06.637000,117.83,117.86,1115855,,34566
2022-12-27 14:36:07.152000,117.82,,1116060,,
2022-12-27 14:36:07.670000,117.8,117.83,1117990,,34567
2022-12-27 14:36:08.205000,117.72,117.76,1131529,,
2022-12-27 14:36:08.731000,117.71,117.75,1131631,,34568
2022-12-27 14:36:09.250000,117.68,117.72,1133147,,34569
2022-12-27 14:36:09.758000,,117.71,1133302,,
2022-12-27 14:36:10.280000,,117.7,1134415,,34570
2022-12-27 14:36:10.807000,117.62,117.66,1136406,,
2022-12-27 14:36:11.334000,,117.65,1136507,,34571
2022-12-27 14:36:11.851000,117.61,117.63,1137012,,
2022-12-27 14:36:12.371000,117.55,117.59,1137477,,34572
2022-12-27 14:36:12.918000,117.56,,1138138,,
2022-12-27 14:36:13.437000,,117.6,1142154,,34573
2022-12-27 14:36:13.961000,117.61,117.63,1144089,,
2022-12-27 14:36:14.498000,117.59,117.61,1144933,,34574
2022-12-27 14:36:15.022000,117.66,117.71,1146461,,
2022-12-27 14:36:15.550000,117.65,117.7,1146947,,34575
2022-12-27 14:36:16.055000,117.68,117.71,1147694,,
2022-12-27 14:36:16.570000,,,1148784,,34576
2022-12-27 14:36:17.107000,,117.72,1149105,,
2022-12-27 14:36:17.613000,117.66,117.68,1150142,,34577
2022-12-27 14:36:18.143000,,117.71,1154483,,
2022-12-27 14:36:18.645000,,117.7,,,34578
2022-12-27 14:36:19.158000,,,1155483,,
2022-12-27 14:36:19.704000,,117.71,1156306,,34579
2022-12-27 14:36:20.243000,117.67,117.7,1156406,,
2022-12-27 14:36:20.750000,117.61,117.65,1157566,,34580
2022-12-27 14:36:21.276000,117.64,117.66,1158166,,34581
2022-12-27 14:36:21.795000,117.62,,,,
2022-12-27 14:36:22.338000,117.58,117.62,1166309,,34582
2022-12-27 14:36:22.894000,117.59,117.63,1166901,,
2022-12-27 14:36:23.405000,117.6,,1166909,,34583
2022-12-27 14:36:23.930000,117.63,117.66,1170933,,
2022-12-27 14:36:24.446000,,,1170957,,34584
2022-12-27 14:36:24.992000,117.67,117.71,1173703,,
2022-12-27 14:36:25.523000,117.65,117.68,1179680,,34585
2022-12-27 14:36:26.026000,117.63,117.66,1179820,,
2022-12-27 14:36:26.572000,,,1180030,,34586
2022-12-27 14:36:27.082000,117.64,117.67,1181031,,
2022-12-27 14:36:27.604000,117.63,117.66,1181049,,34587
2022-12-27 14:36:28.118000,,117.67,,,
2022-12-27 14:36:28.658000,117.65,,1181165,,34588
2022-12-27 14:36:29.167000,117.66,,1181591,,
2022-12-27 14:36:29.677000,117.65,,1181642,,34589
2022-12-27 14:36:30.213000,117.67,117.7,1182042,,
2022-12-27 14:36:30.715000,117.66,117.69,1182332,,34590
2022-12-27 14:36:31.222000,,,1182337,,
2022-12-27 14:36:31.723000,117.64,117.66,1183952,,34591
2022-12-27 14:36:32.260000,,117.69,1184667,,34592
2022-12-27 14:36:32.764000,,117.68,1184712,,
2022-12-27 14:36:33.284000,117.6,117.64,1189744,,34593
2022-12-27 14:36:33.789000,117.62,117.67,1190492,,
2022-12-27 14:36:34.337000,117.69,117.72,1190718,,34594
2022-12-27 14:36:34.875000,117.71,117.73,1196993,,
2022-12-27 14:36:35.402000,117.7,,1197204,,34595
2022-12-27 14:36:35.940000,,117.75,1198227,,
2022-12-27 14:36:36.457000,,,1198467,,34596
2022-12-27 14:36:36.960000,,117.72,1198567,,
2022-12-27 14:36:37.472000,117.64,117.68,1199901,,34597
2022-12-27 14:36:37.999000,117.59,117.63,1200001,,
2022-12-27 14:36:38.507000,,,1205360,,34598
2022-12-27 14:36:39.024000,,,1206411,,
2022-12-27 14:36:39.564000,,,1206606,,34599
2022-12-27 14:36:40.074000,117.63,117.66,1207995,,
2022-12-27 14:36:40.584000,117.67,117.71,1208121,,34600
2022-12-27 14:36:41.095000,117.68,117.72,1208122,,
2022-12-27 14:36:41.632000,117.66,117.71,1208227,,34601
2022-12-27 14:36:42.146000,117.65,117.7,1208333,,
2022-12-27 14:36:42.657000,,117.68,1208479,,34602
2022-12-27 14:36:43.204000,117.64,117.67,1209731,,
2022-12-27 14:36:43.710000,,,1209732,,34603
2022-12-27 14:36:44.223000,,,1209748,,
2022-12-27 14:36:44.743000,,,1209904,,34604
2022-12-27 14:36:45.254000,117.65,117.71,1210126,,
2022-12-27 14:36:45.759000,117.69,117.72,1210580,,34605
2022-12-27 14:36:46.278000,117.64,117.69,1211257,,34606
2022-12-27 14:36:46.785000,117.65,,1211263,,
2022-12-27 14:36:47.301000,117.64,,,,34607
2022-12-27 14:36:47.820000,,,1211963,,
2022-12-27 14:36:48.362000,117.66,117.68,1212034,,34608
2022-12-27 14:36:48.908000,117.63,117.66,1215209,,
2022-12-27 14:36:49.419000,117.64,117.67,1215537,,34609
2022-12-27 14:36:49.942000,117.63,117.66,1216152,,
2022-12-27 14:36:50.463000,,,1216174,,34610
2022-12-27 14:36:50.999000,,,1216175,,
2022-12-27 14:36:51.507000,,,1216476,,34611
2022-12-27 14:36:52.048000,,117.65,1216607,,
2022-12-27 14:36:52.556000,117.64,117.67,1217156,,34612
2022-12-27 14:36:53.077000,117.67,117.69,1222625,,
2022-12-27 14:36:53.592000,117.68,,1222714,,34613
2022-12-27 14:36:54.135000,117.67,,1222753,,
2022-12-27 14:36:54.663000,117.68,117.7,1224248,,34614
2022-12-27 14:36:55.171000,117.65,117.68,1224949,,
2022-12-27 14:36:55.702000,,,1225051,,34615
2022-12-27 14:36:56.225000,,,1225767,,
2022-12-27 14:36:56.752000,117.63,117.66,1227055,,34616
2022-12-27 14:36:57.288000,117.64,,1227106,,34617
2022-12-27 14:36:57.799000,,,1227257,,
2022-12-27 14:36:58.306000,,,1227633,,34618
2022-12-27 14:36:58.813000,,117.65,1227844,,
2022-12-27 14:36:59.329000,117.6,117.64,1233224,,34619
2022-12-27 14:36:59.853000,,117.63,1233326,,
2022-12-27 14:37:00.383000,,,1233810,,34620
2022-12-27 14:37:00.889000,,,1233879,,
2022-12-27 14:37:01.408000,117.57,117.59,1234283,,34621
2022-12-27 14:37:01.926000,,,1235383,,
2022-12-27 14:37:02.460000,,117.6,1235873,,34622
2022-12-27 14:37:02.964000,,,1236323,,
2022-12-27 14:37:03.471000,117.61,117.65,1237709,,34623
2022-12-27 14:37:03.975000,,,1238017,,
2022-12-27 14:37:04.478000,117.65,117.69,1238777,,34624
2022-12-27 14:37:05.000000,117.68,117.7,1238983,,
2022-12-27 14:37:05.513000,,117.72,1240013,,34625
2022-12-27 14:37:06.057000,117.69,117.73,1249671,,
2022-12-27 14:37:06.587000,117.7,117.72,1249903,,34626
2022-12-27 14:37:07.129000,,117.73,1250046,,
