time,bid_price,ask_price,total_volume,open_price,quote_time
2022-12-29 14:31:11.549000,116.74,116.77,453961,116.4,34271
2022-12-29 14:31:12.077000,116.68,116.71,456306,,
2022-12-29 14:31:12.610000,116.67,,,,34272
2022-12-29 14:31:13.112000,,,456307,,
2022-12-29 14:31:13.622000,116.65,116.7,456317,,34273
2022-12-29 14:31:14.677000,,,456343,,34274
2022-12-29 14:31:15.711000,116.57,116.61,456795,,34275
2022-12-29 14:31:16.242000,,,457296,,34276
2022-12-29 14:31:16.773000,116.56,,457434,,
2022-12-29 14:31:17.289000,,,457996,,34277
2022-12-29 14:31:17.828000,,,458011,,
2022-12-29 14:31:18.370000,116.52,116.57,458151,,34278
2022-12-29 14:31:18.902000,,116.56,458154,,
2022-12-29 14:31:19.432000,,116.55,,,
2022-12-29 14:31:19.963000,116.5,116.52,458455,,34279
2022-12-29 14:31:20.490000,116.43,116.46,460412,,34280
2022-12-29 14:31:20.995000,116.49,116.54,462724,,
2022-12-29 14:31:21.527000,116.48,116.51,462727,,34281
2022-12-29 14:31:22.039000,116.46,116.5,463057,,
2022-12-29 14:31:22.575000,116.43,116.46,463202,,34282
2022-12-29 14:31:23.114000,,,463353,,
2022-12-29 14:31:23.645000,,,463611,,34283
2022-12-29 14:31:24.182000,,116.45,,,
2022-12-29 14:31:24.720000,116.42,116.47,466731,,34284
2022-12-29 14:31:25.230000,116.43,116.46,466829,,
2022-12-29 14:31:25.744000,116.4,116.44,467903,,34285
2022-12-29 14:31:26.288000,116.39,116.42,468078,,
2022-12-29 14:31:26.812000,116.43,116.46,474150,,34286
2022-12-29 14:31:27.349000,,116.48,474650,,34287
2022-12-29 14:31:27.871000,116.44,116.5,475279,,
2022-12-29 14:31:28.409000,116.46,116.51,475282,,34288
2022-12-29 14:31:28.941000,116.45,,477342,,
2022-12-29 14:31:29.465000,116.51,116.58,477353,,34289
2022-12-29 14:31:30.001000,116.52,116.57,477453,,
2022-12-29 14:31:30.547000,116.46,116.51,477760,,34290
2022-12-29 14:31:31.083000,116.49,116.53,480936,,
2022-12-29 14:31:31.609000,,,481054,,34291
2022-12-29 14:31:32.120000,116.5,116.56,481383,,
2022-12-29 14:31:32.640000,116.44,116.5,482551,,34292
2022-12-29 14:31:33.159000,,116.48,482809,,
2022-12-29 14:31:33.701000,116.47,,482909,,34293
2022-12-29 14:31:34.231000,116.49,116.53,482969,,
2022-12-29 14:31:34.738000,,,,,34294
2022-12-29 14:31:35.269000,,,483224,,34295
2022-12-29 14:31:35.794000,116.45,116.5,,,
2022-12-29 14:31:36.306000,,116.48,483367,,34296
2022-12-29 14:31:36.831000,,,483712,,
2022-12-29 14:31:37.362000,116.46,,,,34297
2022-12-29 14:31:37.874000,116.47,116.5,,,
2022-12-29 14:31:38.378000,116.4,116.44,485005,,34298
2022-12-29 14:31:39.930000,,,485312,,34299
2022-12-29 14:31:40.461000,116.41,116.46,486614,,34300
2022-12-29 14:31:40.986000,116.43,116.48,486930,,
2022-12-29 14:31:41.492000,,116.47,486980,,34301
2022-12-29 14:31:42.022000,116.44,116.48,487557,,
2022-12-29 14:31:42.552000,116.43,116.47,487560,,34302
2022-12-29 14:31:43.079000,,116.48,487574,,
2022-12-29 14:31:43.582000,116.4,116.43,487861,,34303
2022-12-29 14:31:44.085000,,,488466,,
2022-12-29 14:31:44.634000,116.38,116.41,494353,,34304
2022-12-29 14:31:45.146000,116.45,116.49,494458,,
2022-12-29 14:31:45.671000,,116.5,494960,,34305
2022-12-29 14:31:46.202000,116.46,,501263,,
2022-12-29 14:31:46.706000,116.44,116.48,502663,,34306
2022-12-29 14:31:47.223000,116.45,116.5,502672,,
2022-12-29 14:31:47.741000,116.44,116.47,502674,,34307
2022-12-29 14:31:48.254000,116.37,116.41,504090,,34308
2022-12-29 14:31:48.780000,,116.39,504104,,
2022-12-29 14:31:49.297000,,,504150,,34309
2022-12-29 14:31:50.352000,,116.4,504151,,34310
2022-12-29 14:31:50.877000,116.31,116.35,504841,,
2022-12-29 14:31:51.408000,116.26,116.3,506047,,34311
2022-12-29 14:31:51.934000,116.27,,,,
